epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,265.957,1.4825,1.32894,1.80023,0,0,0,0,0,0,0,0.000542744,0.000542744,0.000542744
2,445.635,1.4235,1.25095,1.74583,0,0,0,0,0,0,0,0.00107709,0.00107709,0.00107709
3,590.17,1.39431,1.22553,1.71237,0,0,0,0,0,0,0,0.00158986,0.00158986,0.00158986
4,730.556,1.40905,1.19942,1.73354,0,0,0,0,0,0,0,0.00156992,0.00156992,0.00156992
5,872.929,1.37269,1.17782,1.69923,0,0,0,0,0,0,0,0.00153756,0.00153756,0.00153756
6,1030.08,1.35372,1.11783,1.66491,0,0,0,0,0,0,0,0.0015052,0.0015052,0.0015052
7,1228.99,1.35998,1.14399,1.66987,0,0,0,0,0,0,0,0.00147284,0.00147284,0.00147284
8,1414.39,1.31807,1.10072,1.62813,0,0,0,0,0,0,0,0.00144048,0.00144048,0.00144048
9,1625.24,1.30402,1.05505,1.6179,0,0,0,0,0,0,0,0.00140812,0.00140812,0.00140812
10,1813.91,1.28011,1.0566,1.60866,0,0,0,0,0,0,0,0.00137577,0.00137577,0.00137577
11,2015.04,1.29232,1.0137,1.59681,0,0,0,0,0,0,0,0.00134341,0.00134341,0.00134341
12,2218.7,1.26463,1.01426,1.57677,0,0,0,0,0,0,0,0.00131105,0.00131105,0.00131105
13,2409.67,1.22424,0.97576,1.54116,0,0,0,0,0,0,0,0.00127869,0.00127869,0.00127869
14,2608.66,1.22742,0.96615,1.55384,0,0,0,0,0,0,0,0.00124633,0.00124633,0.00124633
15,2805.7,1.22651,0.95795,1.55966,0,0,0,0,0,0,0,0.00121397,0.00121397,0.00121397
16,3069.48,1.23371,0.94569,1.53907,0,0,0,0,0,0,0,0.00118161,0.00118161,0.00118161
17,3303.73,1.19242,0.92231,1.52631,0,0,0,0,0,0,0,0.00114925,0.00114925,0.00114925
18,3531.84,1.1836,0.91944,1.50287,0,0,0,0,0,0,0,0.00111689,0.00111689,0.00111689
19,3759.77,1.15161,0.88815,1.48812,0,0,0,0,0,0,0,0.00108453,0.00108453,0.00108453
20,4014.02,1.14492,0.8853,1.47806,0,0,0,0,0,0,0,0.00105217,0.00105217,0.00105217
21,4273.89,1.12762,0.86766,1.45412,0,0,0,0,0,0,0,0.00101981,0.00101981,0.00101981
